conflict_id,dyad_id,org,side_a_name,side_a_name_fulltext,side_a_name_mothertongue,side_a_id,side_a_components,side_a_2nd,gwno_a_2nd,side_b_name,side_b_name_fulltext,side_b_name_mothertongue,side_b_id,side_b_components,side_b_2nd,gwno_b_2nd,ext_troop_supp,start_date,start_prec,start_date2,start_prec2,ep_end,ep_end_date,ep_end_prec,year,best_fatality_estimate,low_fatality_estimate,high_fatality_estimate,location,gwno_location,region,version
11058,11668,1,Guerreros Unidos,,Guerreros Unidos,3298,,,,Los Rojos,,Los Rojos,3299,,,,0,2012-09-08,1,2014-05-31,5,1,2015-12-20,,2015,72,72,103,Mexico,70,5,19.1
11072,11682,2,Opponents of Morsi,,,3307,,,,Supporters of Morsi,,,3306,,,,0,2012-11-25,1,2013-06-30,1,1,2013-12-30,,2013,119,119,123,Egypt,651,2,19.1
11094,11704,1,Los Zetas,,Los Zetas,1088,,,,Los Zetas - Velazquez Caballero faction,,Los Zetas - Velazquez Caballero faction,3323,,,,0,2012-06-11,1,2012-08-09,1,1,2012-09-17,,2012,77,77,131,Mexico,70,5,19.1
11125,11735,3,Birom,,Birom,589,,,,"Fulani, Hausa",,"Fulani, Hausa",3800,"608, 607",,,0,2001-12-30,1,2010-01-19,1,1,2010-01-20,,2010,333,333,400,Nigeria,475,4,19.1
11191,11801,3,Christians (CAR),,Christians (CAR),3555,,,,Muslims (CAR),,Muslims (CAR),3556,,,,0,2007-03-14,1,2013-12-20,2,0,,,2013,47,47,47,Central African Republic,482,4,19.1
11191,11801,3,Christians (CAR),,Christians (CAR),3555,,,,Muslims (CAR),,Muslims (CAR),3556,,,,0,2007-03-14,1,2013-12-20,2,0,,,2014,516,503,574,Central African Republic,482,4,19.1
11191,11801,3,Christians (CAR),,Christians (CAR),3555,,,,Muslims (CAR),,Muslims (CAR),3556,,,,0,2007-03-14,1,2013-12-20,2,1,2015-12-01,,2015,110,110,110,Central African Republic,482,4,19.1
11200,11810,3,Amothnhon Dinka ,,Amothnhon Dinka ,3568,,,,Panyon Dinka ,,Panyon Dinka ,3569,,,,0,2012-11-06,1,2013-01-18,1,1,2013-01-18,,2013,25,25,25,South Sudan,626,4,19.1
11211,11821,3,Al-Zayadia,,Al-Zayadia,3579,,,,Berti,,Berti,3580,,,,0,2012-08-16,1,2015-03-22,2,1,2015-07-05,,2015,127,127,127,Sudan,625,4,19.1
11313,11942,1,FLC,,Front de Libération du Congo,3953,,,,Mayi Mayi,,Maï Maï,648,,,,0,2001-04-25,1,2001-07-24,1,1,2001-07-24,,2001,27,27,27,DR Congo (Zaire),490,4,19.1
11318,11947,1,CPI-ML-VM,,Communist Party of India-Marxist-Leninist-Vinod Mishra,3955,,,,PWG,,n/a,193,,,,0,2000-10-01,1,2000-12-28,5,1,2000-12-28,,2000,27,27,29,India,750,3,19.1
11328,11957,1,Ansar Dine,,Ansar Dine,1157,,,,CMA,,Coordination des Mouvements de l’Azawad,1158,,,,0,2012-04-02,1,2015-12-25,1,1,2015-12-25,,2015,42,42,42,Mali,432,4,19.1
11330,11959,1,Ganda Iso,,Ganda Iso,3157,,,,CMA,,Coordination des Mouvements de l’Azawad,1158,,,,0,2012-03-15,1,2012-03-25,1,1,2012-03-25,,2012,31,31,35,Mali,432,4,19.1
11361,12004,3,Tripura Non-Tribal Communities,,Tripura Non-Tribal Communities,3963,,,,Tripura Tribal Communities,,Tripura Tribal Communities,3404,,,,0,1999-02-04,2,2000-05-20,1,1,2000-11-19,,2000,85,85,86,India,750,3,19.1
11427,12070,1,NURTW-Auxiliary,,National Union of Road Transport Workers-Auxiliary faction,3981,,,,NURTW-Tokyo,,National Union of Road Transport Workers-Tokyo faction,3332,,,,0,2011-05-30,1,2011-06-04,1,1,2011-06-04,,2011,27,27,31,Nigeria,475,4,19.1
11446,12090,1,BNLF,,Bru National Liberation Front,3968,,,,NLFT,,n/a,307,,,,0,2000-06-19,2,2000-08-07,2,1,2000-09-03,,2000,74,74,175,Bangladesh,771,3,19.1
11480,12132,1,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1051,,,,Yan Gora,,Yan Gora,4000,,,,0,2013-07-25,1,2013-08-25,1,0,,,2013,92,92,131,Nigeria,475,4,19.1
11480,12132,1,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1051,,,,Yan Gora,,Yan Gora,4000,,,,0,2013-07-25,1,2013-08-25,1,0,,,2014,493,493,512,Nigeria,475,4,19.1
11480,12132,1,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1051,,,,Yan Gora,,Yan Gora,4000,,,,0,2013-07-25,1,2013-08-25,1,1,2015-02-17,,2015,39,39,39,Nigeria,475,4,19.1
11480,12132,1,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,,Jama'atu Ahlis Sunna Lidda'awati wal-Jihad,1051,,,,Yan Gora,,Yan Gora,4000,,,,0,2013-07-25,1,2017-05-12,1,1,2017-10-12,,2017,94,94,97,Nigeria,475,4,19.1
11484,12136,3,Muslims (Sri Lanka),,Muslims (Sri Lanka),4004,,,,Tamil,,Tamil,2297,,,,0,1989-04-12,2,1989-05-25,3,1,1989-05-25,,1989,25,25,25,Sri Lanka,780,3,19.1
11500,12152,3,Atakar,,Atakar,4022,,,,Fulani,,Fulani,607,,,,0,2013-03-19,1,2013-03-21,1,1,2013-09-02,,2013,77,77,78,Nigeria,475,4,19.1
11502,12154,3,Hausa,,Hausa,608,,,,Jukun,,Jukun,950,,,,0,2013-02-23,2,2013-02-23,2,1,2013-05-03,,2013,70,70,70,Nigeria,475,4,19.1
11523,12175,3,Assamese,,Assamese,2922,,,,Bihari,,Bihari,4044,,,,0,2003-11-15,1,2003-11-19,1,1,2003-12-08,,2003,55,55,58,India,750,3,19.1
11632,12284,3,Agatu,,Agatu,4120,,,,Tiv,,Tiv,1032,,,,0,2013-06-04,1,2013-06-04,1,1,2013-06-13,,2013,42,42,43,Nigeria,475,4,19.1
11649,12306,1,M23,,Mouvement du 23-Mars,1160,,,,M23-R,,Mouvement du 23-Mars - Runiga faction,4130,,,,0,2013-02-24,1,2013-03-10,2,1,2013-03-16,,2013,41,36,412,DR Congo (Zaire),490,4,19.1
11665,12328,1,APCLS,,Alliance des patriotes pour un Congo libre et souverain,1200,,,,NDC,,Nduma Défense du Congo,3037,,,,0,2011-06-09,1,2013-05-31,3,1,2013-10-11,,2013,66,66,177,DR Congo (Zaire),490,4,19.1
11671,12337,1,Hezbollah,,Hezbollah,366,,,,Jabhat Fateh al-Sham,,Jabhat Fateh al-Sham,1170,,,,0,2013-12-21,1,2013-12-21,1,0,,,2013,33,33,33,Lebanon,660,2,19.1
11671,12337,1,Hezbollah,,Hezbollah,366,,,,Jabhat Fateh al-Sham,,Jabhat Fateh al-Sham,1170,,,,0,2013-12-21,1,2013-12-21,1,0,,,2014,67,67,70,"Syria, Lebanon","652, 660",2,19.1
11671,12337,1,Hezbollah,,Hezbollah,366,,,,Jabhat Fateh al-Sham,,Jabhat Fateh al-Sham,1170,,,,0,2013-12-21,1,2013-12-21,1,1,2015-12-09,,2015,46,11,46,Lebanon,660,2,19.1
11675,12341,3,Agatu,,Agatu,4120,,,,Fulani,,Fulani,607,,,,0,2013-04-20,1,2013-05-12,1,1,2013-11-09,,2013,136,136,168,Nigeria,475,4,19.1
11675,12341,3,Agatu,,Agatu,4120,,,,Fulani,,Fulani,607,,,,0,2013-04-20,1,2015-03-15,1,0,,,2015,168,117,190,Nigeria,475,4,19.1
11675,12341,3,Agatu,,Agatu,4120,,,,Fulani,,Fulani,607,,,,0,2013-04-20,1,2015-03-15,1,1,2016-03-10,,2016,154,154,372,Nigeria,475,4,19.1
11679,12345,1,"FSA, Jabhat Fateh al-Sham",,"Jabhat Fateh al-Sham, n/a",4166,"1170, 1130",,,PYD,,Partiya YekÃ®tiya Demokrat,4163,,,,0,2012-10-27,1,2012-10-27,1,1,2012-10-27,,2012,30,30,30,Syria,652,2,19.1
11680,12346,1,"Ghuraba al-Sham, Jabhat Fateh al-Sham",,"Jabhat Fateh al-Sham, Jabhat Ghurabā’ ash-Shām",4168,"4167, 1170",,,PYD,,Partiya YekÃ®tiya Demokrat,4163,,,,0,2012-11-19,1,2012-11-20,2,1,2012-11-20,,2012,29,29,34,Syria,652,2,19.1
11694,12362,1,Brigades of Aisha,,Aisha Umm-al Mouemeneen,4183,,,,Hezbollah,,Hezbollah,366,,,,0,2013-08-15,1,2013-08-15,1,1,2013-08-15,,2013,26,21,27,Lebanon,660,2,19.1
11704,12378,1,anti-Balaka,,anti-Balaka,4201,,,,FPRC,,Front populaire pour la renaissance de centrafrique,4007,,,,0,2013-08-26,1,2013-10-01,1,0,,,2013,244,244,336,Central African Republic,482,4,19.1
11704,12378,1,anti-Balaka,,anti-Balaka,4201,,,,FPRC,,Front populaire pour la renaissance de centrafrique,4007,,,,0,2013-08-26,1,2013-10-01,1,1,2014-10-07,,2014,495,454,614,Central African Republic,482,4,19.1
11704,12378,1,anti-Balaka,,anti-Balaka,4201,,,,FPRC,,Front populaire pour la renaissance de centrafrique,4007,,,,0,2013-08-26,1,2017-07-24,1,0,,,2017,54,54,56,Central African Republic,482,4,19.1
11704,12378,1,anti-Balaka,,anti-Balaka,4201,,,,FPRC,,Front populaire pour la renaissance de centrafrique,4007,,,,0,2013-08-26,1,2017-07-24,1,0,,,2018,28,28,28,Central African Republic,482,4,19.1
11708,12384,3,Beni Hussein,,Beni Hussein,1945,,,,Rizeigat Abbala,,Rizeigat Abbala,676,,,,0,2013-01-09,1,2013-01-09,1,0,,,2013,311,255,894,Sudan,625,4,19.1
11708,12384,3,Beni Hussein,,Beni Hussein,1945,,,,Rizeigat Abbala,,Rizeigat Abbala,676,,,,0,2013-01-09,1,2013-01-09,1,1,2014-08-28,,2014,76,76,76,Sudan,625,4,19.1
11709,12385,3,Awlad Heiban clan (Misseriya) ,,,4203,,,,"Awlad Metanin clan (Misseriya), Awlad Serur clan (Misseriya) ",,"Awlad Metanin clan (Misseriya), Awlad Serur clan (Misseriya) ",4532,"4204, 4531",,,0,2013-01-06,1,2013-01-06,1,1,2013-01-06,,2013,80,80,80,Sudan,625,4,19.1
11711,12387,3,Misseriya,,Misseriya,1025,,,,Nuer,,Nuer,660,,,,0,2013-02-19,1,2018-02-17,2,0,,,2018,39,39,39,"South Sudan, Sudan","626, 625",4,19.1
11712,12388,3,Beni Halba Baggara,,Beni Halba Baggara,995,,,,Gimir,,Gimir,1923,,,,0,2013-03-01,1,2013-05-03,1,1,2013-06-24,,2013,177,177,235,Sudan,625,4,19.1
11715,12393,1,Ansaar ul-Islam,,Ansaar ul-Islam,398,,,,TTP,,Tehrik-i-Taliban Pakistan,356,,,,0,2013-01-28,2,2013-01-28,2,1,2013-03-19,,2013,211,211,211,Pakistan,770,3,19.1
11721,12400,3,Misseriya,,Misseriya,1025,,,,Salamat Baggara,,Salamat Baggara,994,,,,0,2013-04-11,1,2013-04-11,1,0,,,2013,456,311,751,Sudan,625,4,19.1
11721,12400,3,Misseriya,,Misseriya,1025,,,,Salamat Baggara,,Salamat Baggara,994,,,,0,2013-04-11,1,2013-04-11,1,1,2014-06-21,,2014,57,57,57,Sudan,625,4,19.1
11721,12400,3,Misseriya,,Misseriya,1025,,,,Salamat Baggara,,Salamat Baggara,994,,,,0,2013-04-11,1,2017-05-22,2,1,2017-06-12,,2017,32,32,32,Sudan,625,4,19.1
11729,12410,3,Hamar,,Hamar,1080,,,,Ma'aliyah,,Ma'aliyah,641,,,,0,2013-12-05,1,2013-12-05,1,0,,,2013,38,38,38,Sudan,625,4,19.1
11729,12410,3,Hamar,,Hamar,1080,,,,Ma'aliyah,,Ma'aliyah,641,,,,0,2013-12-05,1,2013-12-05,1,1,2014-07-01,,2014,52,52,56,Sudan,625,4,19.1
11755,12441,3,Eggon,,Eggon,1172,,,,Fulani,,Fulani,607,,,,0,2013-01-10,1,2014-08-24,1,1,2014-11-23,,2014,202,202,362,Nigeria,475,4,19.1
11777,12464,3,Kuteb,,Kuteb,1487,,,,Tiv,,Tiv,1032,,,,0,2013-04-09,1,2015-05-03,1,1,2015-05-03,,2015,64,64,64,Nigeria,475,4,19.1
11780,12467,3,Ikpanaya,,Ikpanaya,4290,,,,Ntan Obu-Ukpe,,Ntan Obu-Ukpe,4291,,,,0,2012-05-31,3,2012-05-31,3,1,2012-05-31,,2012,41,41,41,Nigeria,475,4,19.1
11859,12573,3,Awlad Suleiman ,,Awlad Suleiman ,4371,,,,Qadhadhfa,,,4370,,,,0,2013-01-02,1,2016-12-25,2,1,2016-12-25,,2016,30,30,33,Libya,620,4,19.1
11863,12589,1,MAA,,Mouvement Arabe de l’Azawad,4380,,,,CMA,,Coordination des Mouvements de l’Azawad,1158,,,,0,2013-02-23,1,2013-08-16,1,1,2013-08-16,,2013,28,28,28,Mali,432,4,19.1
11897,12635,1,Amigos dos Amigos,,Amigos dos Amigos/Friends of Friends,4416,,,,Comando Vermelho,,Comando Vermelho,772,,,,0,1999-09-03,1,2004-11-22,1,1,2004-12-29,,2004,51,51,51,Brazil,140,5,19.1
11897,12635,1,Amigos dos Amigos,,Amigos dos Amigos/Friends of Friends,4416,,,,Comando Vermelho,,Comando Vermelho,772,,,,0,1999-09-03,1,2009-10-24,3,1,2009-10-24,,2009,40,40,45,Brazil,140,5,19.1
11906,12654,1,Barriga gang,,,4431,,,,Sujeirinha gang,,,4432,,,,0,1997-05-09,1,1999-12-13,1,1,1999-12-25,,1999,30,30,30,Brazil,140,5,19.1
11934,12693,1,Comando Vermelho,,Comando Vermelho,772,,,,Terceiro Comando Puro,,Terceiro Comando Puro,4462,,,,0,2004-07-14,1,2011-09-05,5,1,2011-09-05,,2011,31,31,31,Brazil,140,5,19.1
11936,12696,3,Borana,,Borana,591,,,,"Burji, Gabra",,"Burji, Gabra",4463,"609, 592",,,0,2013-07-15,1,2013-12-06,1,1,2013-12-08,,2013,39,39,174,Kenya,501,4,19.1
11940,12701,1,Autodefensas Unidas de Michoacán,,Autodefensas Unidas de Michoacán,4475,,,,Los Caballeros Templarios,,Los Caballeros Templarios,1150,,,,0,2013-04-28,1,2013-10-27,1,1,2013-11-16,,2013,38,35,48,Mexico,70,5,19.1
11942,12703,3,Al-Maraziq,,,4478,,,,Al-Saida,,,4477,,,,0,2003-12-31,5,2004-12-03,3,1,2004-12-03,,2004,28,28,30,Yemen (North Yemen),678,2,19.1
11949,12712,1,Gulf Cartel - Ramirez Treviño faction,,Cártel del Golfo - Ramirez Treviño faction,4486,,,,Gulf Cartel - Villareal faction,,Cártel del Golfo - Villareal faction,4487,,,,0,2013-03-10,1,2013-03-10,1,1,2013-03-10,,2013,35,2,50,Mexico,70,5,19.1
11955,12718,1,La Mochomera,,La Mochomera,4492,,,,Sinaloa Cartel,,Cártel de Sinaloa,775,,,,0,2013-04-21,2,2013-08-10,3,1,2013-09-08,,2013,27,27,27,Mexico,70,5,19.1
12994,13767,1,"IS, Jabhat Fateh al-Sham",,"al-Dawla al-Islamiyya, Jabhat Fateh al-Sham",5540,"1170, 234",,,PYD,,Partiya YekÃ®tiya Demokrat,4163,,,,0,2013-08-02,1,2013-09-18,2,0,,,2013,115,115,160,Syria,652,2,19.1
12995,13768,1,Jabhat Fateh al-Sham,,Jabhat al-Nusra li al-Sham,1170,,,,PYD,,Partiya YekÃ®tiya Demokrat,4163,,,,0,2013-01-19,2,2013-01-19,2,1,2013-07-19,,2013,56,56,71,Syria,652,2,19.1
12996,13769,1,"FSA, Jabhat Fateh al-Sham, Mish'al at Tammu Brigade",,"Jabhat Fateh al-Sham, Mish'al at Tammu Brigade, n/a",5539,"5538, 1170, 1130",,,PYD,,Partiya YekÃ®tiya Demokrat,4163,,,,0,2013-01-26,3,2013-01-26,3,1,2013-01-26,,2013,41,41,41,Syria,652,2,19.1
12997,13770,1,FSA,,n/a,1130,,,,IS,,al-Dawla al-Islamiyya,234,,,,0,2013-07-07,2,2013-09-20,2,0,,,2013,71,71,84,"Syria, Iraq","652, 645",2,19.1
12997,13770,1,FSA,,n/a,1130,,,,IS,,al-Dawla al-Islamiyya,234,,,,0,2013-07-07,2,2013-09-20,2,1,2014-12-18,,2014,49,39,67,Syria,652,2,19.1
12998,13771,1,FSA,,n/a,1130,,,,PYD,,Partiya YekÃ®tiya Demokrat,4163,,,,0,2012-10-26,1,2013-06-06,3,1,2013-07-19,,2013,34,34,44,Syria,652,2,19.1
12999,13772,1,"FSA, Jabhat Fateh al-Sham",,"Jabhat Fateh al-Sham, n/a",4166,"1170, 1130",,,Jabhat al-Akrad,,Cebhet El-Ekrad,5541,,,,0,2013-07-29,1,2013-07-29,1,1,2013-07-29,,2013,34,14,35,Syria,652,2,19.1
13015,13794,1,"FSA, IS",,"al-Dawla al-Islamiyya, n/a",5559,"234, 1130",,,PYD,,Partiya YekÃ®tiya Demokrat,4163,,,,0,2013-09-25,1,2014-02-16,1,1,2014-08-12,,2014,39,39,39,Syria,652,2,19.1
13022,13801,1,IS,,Jama’at Al-Tawhid wa Al-Jihad,234,,,,PYD,,Partiya YekÃ®tiya Demokrat,4163,,,,0,2013-10-09,3,2014-01-07,2,0,,,2013,56,56,56,Syria,652,2,19.1
13022,13801,1,IS,,Jama’at Al-Tawhid wa Al-Jihad,234,,,,PYD,,Partiya YekÃ®tiya Demokrat,4163,,Government of United States of America,2,1,2013-10-09,3,2014-01-07,2,0,,,2014,1524,1524,1700,Syria,652,2,19.1
13022,13801,1,IS,,Jama’at Al-Tawhid wa Al-Jihad,234,,,,PYD,,Partiya YekÃ®tiya Demokrat,4163,,Government of United States of America,2,1,2013-10-09,3,2014-01-07,2,1,2015-10-08,,2015,879,878,889,Syria,652,2,19.1
13034,13813,1,IS,,Jama’at Al-Tawhid wa Al-Jihad,234,,,,Jabhat Fateh al-Sham,,Jabhat Fateh al-Sham,1170,,,,0,2013-09-21,1,2014-01-09,1,0,,,2014,736,736,736,Syria,652,2,19.1
13034,13813,1,IS,,Jama’at Al-Tawhid wa Al-Jihad,234,,,,Jabhat Fateh al-Sham,,Jabhat Fateh al-Sham,1170,,,,0,2013-09-21,1,2014-01-09,1,0,,,2015,32,32,256,Syria,652,2,19.1
13034,13813,1,IS,,Jama’at Al-Tawhid wa Al-Jihad,234,,,,Jabhat Fateh al-Sham,,Jabhat Fateh al-Sham,1170,,,,0,2013-09-21,1,2014-01-09,1,1,2016-11-11,,2016,124,124,152,"Lebanon, Syria","660, 652",2,19.1
13167,14009,3,Fulani,,Fulani,607,,,,Jukun,,Jukun,950,,,,0,2014-04-15,1,2014-09-14,1,0,,,2014,77,77,94,Nigeria,475,4,19.1
