"sex","age","ethnicity","fon","passage","vote"
0,37,"Yoa",0,"Control",1
1,27,"Peul",0,"Wife",1
0,53,"Adja",0,"FonWife",0
1,45,"Goun",0,"FonWife",0
0,49,"Goun",0,"Wife",0
0,24,"Mina",0,"Control",0
0,43,"Dendi",0,"FonWife",1
0,60,"Adja",0,"Control",1
1,35,"Lokpa",0,"Wife",1
0,26,"Adja",0,"Control",1
0,34,"Mina",0,"Control",1
0,42,"Goun",0,"Control",0
1,25,"Goun",0,"FonWife",0
0,27,"Ani",0,"Control",1
1,36,"Adja",0,"FonWife",0
1,24,"Adja",0,"Control",1
1,40,"Goun",0,"Control",0
0,32,"Yom",0,"Wife",1
0,26,"Peul",0,"Wife",1
0,24,"Dendi",0,"FonWife",0
1,24,"Dendi",0,"Wife",1
1,47,"Mina",0,"FonWife",0
0,26,"Yom",0,"FonWife",1
0,53,"Ditamari",0,"FonWife",1
1,32,"Lokpa",0,"Wife",1
0,39,"Adja",0,"Control",0
0,26,"Lokpa",0,"Wife",1
0,31,"Mina",0,"Wife",0
0,21,"Mina",0,"FonWife",0
1,36,"Dendi",0,"FonWife",1
0,48,"Yoa",0,"Wife",1
0,45,"Goun",0,"FonWife",0
0,31,"Adja",0,"FonWife",1
1,19,"Yoa",0,"Wife",1
1,21,"Ditamari",0,"FonWife",1
0,24,"Somba",0,"FonWife",1
1,49,"Dendi",0,"Wife",0
1,27,"Mina",0,"Control",0
0,37,"Adja",0,"Wife",1
1,32,"Mina",0,"Control",0
0,24,"Dendi",0,"Wife",1
1,27,"Goun",0,"Wife",0
1,31,"Lokpa",0,"FonWife",0
1,19,"Adja",0,"Control",1
1,30,"Ditamari",0,"Wife",1
1,28,"Dendi",0,"Control",1
1,25,"Natimba",0,"FonWife",1
1,27,"Wama",0,"Control",0
1,25,"Goun",0,"FonWife",0
1,34,"Dendi",0,"Control",1
0,20,"Yoa",0,"FonWife",1
0,19,"Mina",0,"Control",1
0,44,"Wama",0,"Wife",1
0,39,"Dendi",0,"Control",1
1,19,"Adja",0,"FonWife",0
1,24,"Mina",0,"Wife",1
0,35,"Dendi",0,"Wife",1
0,29,"Ani",0,"FonWife",1
1,40,"Goun",0,"FonWife",0
0,18,"Ditamari",0,"Wife",1
1,30,"Peul",0,"Wife",1
1,24,"Mina",0,"Wife",0
1,32,"Lokpa",0,"Wife",0
1,36,"Mina",0,"Wife",0
0,47,"Goun",0,"Control",1
1,42,"Dendi",0,"Control",1
1,24,"Ditamari",0,"FonWife",1
0,30,"Dendi",0,"Wife",1
0,19,"Dompago",0,"FonWife",1
1,35,"Mina",0,"FonWife",0
0,32,"Ani",0,"Wife",0
1,31,"Mina",0,"Control",0
0,27,"Mina",0,"Wife",1
0,24,"Goun",0,"Wife",1
0,19,"Adja",0,"FonWife",0
0,30,"Goun",0,"Control",0
0,22,"Adja",0,"FonWife",1
1,23,"Mina",0,"FonWife",0
0,28,"Dendi",0,"FonWife",0
0,35,"Adja",0,"FonWife",0
0,28,"Mina",0,"Wife",1
0,31,"Ditamari",0,"Control",1
1,23,"Mina",0,"FonWife",1
0,32,"Dendi",0,"Control",1
1,35,"Dendi",0,"Wife",1
1,18,"Mina",0,"Control",1
1,40,"Goun",0,"FonWife",0
0,26,"Adja",0,"Control",0
1,44,"Dompago",0,"Wife",1
1,33,"Adja",0,"Control",1
1,26,"Goun",0,"Wife",0
0,36,"Goun",0,"Control",0
0,32,"Goun",0,"Wife",0
0,27,"Adja",0,"FonWife",1
0,35,"Goun",0,"Wife",0
1,22,"Mina",0,"Wife",0
1,54,"Yom",0,"Control",1
1,40,"Goun",0,"Wife",1
1,24,"Lokpa",0,"Control",1
0,48,"Mina",0,"FonWife",0
0,31,"Adja",0,"FonWife",0
0,39,"Dendi",0,"FonWife",1
0,38,"Goun",0,"Wife",0
1,36,"Goun",0,"Control",1
0,34,"Mina",0,"Wife",0
1,28,"Adja",0,"Wife",1
0,18,"Peul",0,"FonWife",1
1,34,"Ditamari",0,"Wife",1
0,55,"Dendi",0,"Control",1
0,35,"Adja",0,"Wife",0
1,27,"Goun",0,"Wife",0
0,34,"Ani",0,"FonWife",1
